yr,ssp3,ssp1,,,,
1712.709,276.92,276.92,,,,
1712.792,276.93,276.93,,,,
1712.875,276.93,276.93,,,,
1712.959,276.93,276.93,,,,
1713.042,276.93,276.93,,,,
1713.125,276.94,276.94,,,,
1713.209,276.94,276.94,,,,
1713.292,276.94,276.94,,,,
1713.375,276.95,276.95,,,,
1713.459,276.95,276.95,,,,
1713.542,276.95,276.95,,,,
1713.625,276.95,276.95,,,,
1713.709,276.96,276.96,,,,
1713.792,276.96,276.96,,,,
1713.875,276.96,276.96,,,,
1713.959,276.96,276.96,,,,
1714.042,276.97,276.97,,,,
1714.125,276.97,276.97,,,,
1714.209,276.97,276.97,,,,
1714.292,276.97,276.97,,,,
1714.375,276.98,276.98,,,,
1714.459,276.98,276.98,,,,
1714.542,276.98,276.98,,,,
1714.625,276.99,276.99,,,,
1714.709,276.99,276.99,,,,
1714.792,276.99,276.99,,,,
1714.875,276.99,276.99,,,,
1714.959,277,277,,,,
1715.042,277,277,,,,
1715.125,277,277,,,,
1715.209,277.01,277.01,,,,
1715.292,277.01,277.01,,,,
1715.375,277.01,277.01,,,,
1715.459,277.01,277.01,,,,
1715.542,277.02,277.02,,,,
1715.625,277.02,277.02,,,,
1715.709,277.02,277.02,,,,
1715.792,277.03,277.03,,,,
1715.875,277.03,277.03,,,,
1715.959,277.03,277.03,,,,
1716.042,277.03,277.03,,,,
1716.125,277.04,277.04,,,,
1716.209,277.04,277.04,,,,
1716.292,277.04,277.04,,,,
1716.375,277.05,277.05,,,,
1716.459,277.05,277.05,,,,
1716.542,277.05,277.05,,,,
1716.625,277.05,277.05,,,,
1716.709,277.06,277.06,,,,
1716.792,277.06,277.06,,,,
1716.875,277.06,277.06,,,,
1716.959,277.07,277.07,,,,
1717.042,277.07,277.07,,,,
1717.125,277.07,277.07,,,,
1717.209,277.08,277.08,,,,
1717.292,277.08,277.08,,,,
1717.375,277.08,277.08,,,,
1717.459,277.09,277.09,,,,
1717.542,277.09,277.09,,,,
1717.625,277.09,277.09,,,,
1717.709,277.09,277.09,,,,
1717.792,277.1,277.1,,,,
1717.875,277.1,277.1,,,,
1717.959,277.1,277.1,,,,
1718.042,277.11,277.11,,,,
1718.125,277.11,277.11,,,,
1718.209,277.11,277.11,,,,
1718.292,277.12,277.12,,,,
